t, Obs_Wetland Cell 6 Water depth (m)_expression
40186.29000,0.808756
40186.30000,0.808599
40186.31000,0.808442
40186.32000,0.808285
40186.33000,0.808128
40186.34000,0.807776
40186.35000,0.807424
40186.36000,0.807071
40186.37000,0.806719
40186.38000,0.806367
40186.39000,0.806015
40186.40000,0.805662
40186.41000,0.80531
40186.42000,0.804958
40186.43000,0.804606
40186.44000,0.804253
40186.45000,0.803901
40186.46000,0.803549
40186.47000,0.803268
40186.48000,0.803023
40186.49000,0.802777
40186.50000,0.802532
40186.51000,0.802287
40186.52000,0.802042
40186.53000,0.801796
40186.54000,0.801551
40186.55000,0.801306
40186.56000,0.801061
40186.57000,0.800815
40186.58000,0.80057
40186.59000,0.800325
40186.60000,0.80008
40186.61000,0.799834
40186.62000,0.799589
40186.63000,0.799344
40186.64000,0.799099
40186.65000,0.79895
40186.66000,0.798813
40186.67000,0.798676
40186.68000,0.798539
40186.69000,0.798403
40186.70000,0.798266
40186.71000,0.798129
40186.72000,0.797992
40186.73000,0.797856
40186.74000,0.797719
40186.75000,0.797582
40186.76000,0.797445
40186.77000,0.797309
40186.78000,0.797172
40186.79000,0.797035
40186.80000,0.796898
40186.81000,0.796762
40186.82000,0.796625
40186.83000,0.796488
40186.84000,0.796351
40186.85000,0.796215
40186.86000,0.796078
40186.87000,0.795941
40186.88000,0.795804
40186.89000,0.795667
40186.90000,0.795531
40186.91000,0.795394
40186.92000,0.795257
40186.93000,0.79512
40186.94000,0.794983
40186.95000,0.794846
40186.96000,0.794709
40186.97000,0.794573
40186.98000,0.794436
40186.99000,0.794299
40187.00000,0.794162
40187.01000,0.794025
40187.02000,0.793888
40187.03000,0.793751
40187.04000,0.793614
40187.05000,0.793478
40187.06000,0.793341
40187.07000,0.793204
40187.08000,0.793067
40187.09000,0.79293
40187.10000,0.792793
40187.11000,0.792656
40187.12000,0.792519
40187.13000,0.792383
40187.14000,0.792246
40187.15000,0.792109
40187.16000,0.791972
40187.17000,0.791835
40187.18000,0.791698
40187.19000,0.791561
40187.20000,0.791378
40187.21000,0.791162
40187.22000,0.790945
40187.23000,0.790729
40187.24000,0.790512
40187.25000,0.790295
40187.26000,0.790079
40187.27000,0.789862
40187.28000,0.789646
40187.29000,0.789429
40187.30000,0.789213
40187.31000,0.788996
40187.32000,0.788779
40187.33000,0.788563
40187.34000,0.788346
40187.35000,0.78813
40187.36000,0.787913
40187.37000,0.787697
40187.38000,0.78748
40187.39000,0.787263
40187.40000,0.787047
40187.41000,0.78683
40187.42000,0.786614
40187.43000,0.786397
40187.44000,0.78618
40187.45000,0.785964
40187.46000,0.785747
40187.47000,0.785531
40187.48000,0.785314
40187.49000,0.785098
40187.50000,0.784881
40187.51000,0.784664
40187.52000,0.784448
40187.53000,0.784231
40187.54000,0.784015
40187.55000,0.783798
40187.56000,0.783582
40187.57000,0.783365
40187.58000,0.783148
40187.59000,0.782932
40187.60000,0.782715
40187.61000,0.782499
40187.62000,0.782332
40187.63000,0.782229
40187.64000,0.782126
40187.65000,0.782023
40187.66000,0.781919
40187.67000,0.781816
40187.68000,0.781713
40187.69000,0.78161
40187.70000,0.781507
40187.71000,0.781404
40187.72000,0.7813
40187.73000,0.781197
40187.74000,0.781094
40187.75000,0.780991
40187.76000,0.780888
40187.77000,0.780785
40187.78000,0.780681
40187.79000,0.780578
40187.80000,0.780475
40187.81000,0.780372
40187.82000,0.780269
40187.83000,0.780166
40187.84000,0.780062
40187.85000,0.779959
40187.86000,0.779856
40187.87000,0.779753
40187.88000,0.77965
40187.89000,0.779547
40187.90000,0.779443
40187.91000,0.77934
40187.92000,0.779237
40187.93000,0.779134
40187.94000,0.779031
40187.95000,0.778928
40187.96000,0.778824
40187.97000,0.778721
40187.98000,0.778618
40187.99000,0.778515
40188.00000,0.778412
40188.01000,0.778309
40188.02000,0.778206
40188.03000,0.778102
40188.04000,0.777951
40188.05000,0.777687
40188.06000,0.777424
40188.07000,0.77716
40188.08000,0.776896
40188.09000,0.776633
40188.10000,0.776369
40188.11000,0.776105
40188.12000,0.775842
40188.13000,0.775578
40188.14000,0.775314
40188.15000,0.775051
40188.16000,0.774787
40188.17000,0.774523
40188.18000,0.774259
40188.19000,0.773996
40188.20000,0.773732
40188.21000,0.773468
40188.22000,0.773205
40188.23000,0.772941
40188.24000,0.772677
40188.25000,0.772414
40188.26000,0.77215
40188.27000,0.771886
40188.28000,0.771623
40188.29000,0.771359
40188.30000,0.771095
40188.31000,0.770832
40188.32000,0.770568
40188.33000,0.770304
40188.34000,0.770041
40188.35000,0.769777
40188.36000,0.769513
40188.37000,0.76925
40188.38000,0.768986
40188.39000,0.768722
40188.40000,0.768459
40188.41000,0.768195
40188.42000,0.767931
40188.43000,0.767668
40188.44000,0.767404
40188.45000,0.76714
40188.46000,0.766902
40188.47000,0.766799
40188.48000,0.766695
40188.49000,0.766592
40188.50000,0.766488
40188.51000,0.766385
40188.52000,0.766282
40188.53000,0.766178
40188.54000,0.766075
40188.55000,0.765971
40188.56000,0.765868
40188.57000,0.765764
40188.58000,0.765661
40188.59000,0.765558
40188.60000,0.765454
40188.61000,0.765351
40188.62000,0.765247
40188.63000,0.765144
40188.64000,0.76504
40188.65000,0.764937
40188.66000,0.764834
40188.67000,0.76473
40188.68000,0.764627
40188.69000,0.764523
40188.70000,0.76442
40188.71000,0.764316
40188.72000,0.764213
40188.73000,0.76411
40188.74000,0.764006
40188.75000,0.763903
40188.76000,0.763799
40188.77000,0.763696
40188.78000,0.763592
40188.79000,0.763489
40188.80000,0.763385
40188.81000,0.763282
40188.82000,0.763179
40188.83000,0.763075
40188.84000,0.762972
40188.85000,0.762868
40188.86000,0.762765
40188.87000,0.762661
40188.88000,0.762558
40188.89000,0.762455
40188.90000,0.762351
40188.91000,0.762248
40188.92000,0.762144
40188.93000,0.762041
40188.94000,0.761938
40188.95000,0.761834
40188.96000,0.761731
40188.97000,0.761627
40188.98000,0.761524
40188.99000,0.761421
40189.00000,0.761317
40189.01000,0.761214
40189.02000,0.76111
40189.03000,0.761007
40189.04000,0.760904
40189.05000,0.7608
40189.06000,0.760697
40189.07000,0.760593
40189.08000,0.76049
40189.09000,0.760387
40189.10000,0.760283
40189.11000,0.76018
40189.12000,0.760076
40189.13000,0.759973
40189.14000,0.75987
40189.15000,0.759766
40189.16000,0.759663
40189.17000,0.759559
40189.18000,0.759456
40189.19000,0.759353
40189.20000,0.759249
40189.21000,0.759146
40189.22000,0.759042
40189.23000,0.758939
40189.24000,0.758836
40189.25000,0.758732
40189.26000,0.758629
40189.27000,0.758525
40189.28000,0.758422
40189.29000,0.758319
40189.30000,0.758215
40189.31000,0.758112
40189.32000,0.758008
40189.33000,0.757904
40189.34000,0.757801
40189.35000,0.757697
40189.36000,0.757594
40189.37000,0.75749
40189.38000,0.757386
40189.39000,0.757283
40189.40000,0.757179
40189.41000,0.757076
40189.42000,0.756972
40189.43000,0.756868
40189.44000,0.756765
40189.45000,0.756661
40189.46000,0.756558
40189.47000,0.756454
40189.48000,0.75635
40189.49000,0.756247
40189.50000,0.756143
40189.51000,0.75604
40189.52000,0.755936
40189.53000,0.755832
40189.54000,0.755729
40189.55000,0.755625
40189.56000,0.755522
40189.57000,0.755418
40189.58000,0.755314
40189.59000,0.755211
40189.60000,0.755107
40189.61000,0.755004
40189.62000,0.7549
40189.63000,0.754796
40189.64000,0.754693
40189.65000,0.754589
40189.66000,0.754486
40189.67000,0.754382
40189.68000,0.754278
40189.69000,0.754175
40189.70000,0.754071
40189.71000,0.753968
40189.72000,0.753864
40189.73000,0.75376
40189.74000,0.753656
40189.75000,0.753552
40189.76000,0.753449
40189.77000,0.753345
40189.78000,0.753241
40189.79000,0.753137
40189.80000,0.753033
40189.81000,0.752929
40189.82000,0.752825
40189.83000,0.752721
40189.84000,0.752617
40189.85000,0.752513
40189.86000,0.752409
40189.87000,0.752305
40189.88000,0.752202
40189.89000,0.752098
40189.90000,0.751994
40189.91000,0.75189
40189.92000,0.751786
40189.93000,0.751682
40189.94000,0.751578
40189.95000,0.751474
40189.96000,0.75137
40189.97000,0.751266
40189.98000,0.751162
40189.99000,0.751059
40190.00000,0.750955
40190.01000,0.750851
40190.02000,0.750747
40190.03000,0.750643
40190.04000,0.750539
40190.05000,0.750435
40190.06000,0.750331
40190.07000,0.750227
40190.08000,0.750123
40190.09000,0.750019
40190.10000,0.749915
40190.11000,0.749812
40190.12000,0.749708
40190.13000,0.749604
40190.14000,0.7495
40190.15000,0.749301
40190.16000,0.74904
