t,Obs_Soil Moisture_expression_noisy
40341.96,0.326328166448071
40341.97,0.340267590817275
40341.98,0.346996889098132
40341.99,0.355134505350631
40342,0.367493996765068
40342.01,0.374661865367072
40342.02,0.377192512257734
40342.03,0.374520767922425
40342.04,0.373535121815676
40342.05,0.373138444832827
40342.06,0.376320161225725
40342.07,0.372819666894201
40342.08,0.376567911671751
40342.09,0.365850773969032
40342.1,0.36028679318892
40342.11,0.348590015181623
40342.12,0.349759498280671
40342.13,0.352524746071263
40342.14,0.347400192164713
40342.15,0.354058748377222
40342.16,0.354020106758626
40342.17,0.349539006288118
40342.18,0.347758681805192
40342.19,0.346228278068497
40342.2,0.349757240126617
40342.21,0.350773872004243
40342.22,0.345733653170868
40342.23,0.34212146542571
40342.24,0.342983765963912
40342.25,0.347208852318713
40342.26,0.350823213054445
40342.27,0.349777340265884
40342.28,0.355042277559554
40342.29,0.358523663643865
40342.3,0.357385357648107
40342.31,0.356824244881649
40342.32,0.354879762687444
40342.33,0.354629604729729
40342.34,0.352492034961402
40342.35,0.352842146928396
40342.36,0.354183786919975
40342.37,0.34963513362627
40342.38,0.34727775179308
40342.39,0.349237220311417
40342.4,0.350715507298677
40342.41,0.351728510439591
40342.42,0.357594246670256
40342.43,0.358743882541142
40342.44,0.359102424931
40342.45,0.368091280698067
40342.46,0.366340200610819
40342.47,0.363799757496012
40342.48,0.36303580398243
40342.49,0.370892408780351
40342.5,0.364823292278963
40342.51,0.370068655781795
40342.52,0.371980060924705
40342.53,0.375455538722014
40342.54,0.380697529015155
40342.55,0.373855968024707
40342.56,0.375010177353975
40342.57,0.377989816333332
40342.58,0.3716908990655
40342.59,0.376100470506486
40342.6,0.373486466244453
40342.61,0.370213128484359
40342.62,0.382306067573408
40342.63,0.379070475115284
40342.64,0.365973138197834
40342.65,0.37035498488595
40342.66,0.38790094775399
40342.67,0.385183160543564
40342.68,0.381413359154095
40342.69,0.377021731473103
40342.7,0.378564176530385
40342.71,0.373202031760137
40342.72,0.366060061164618
40342.73,0.363614487958973
40342.74,0.358415238456013
40342.75,0.363759759057581
40342.76,0.373189270608252
40342.77,0.375909328915064
40342.78,0.370843558428971
40342.79,0.363422838783786
40342.8,0.363114253319856
40342.81,0.366703244314268
40342.82,0.367195344890644
40342.83,0.35920076838994
40342.84,0.358046862896933
40342.85,0.358020994891949
40342.86,0.364185542683521
40342.87,0.361672879099476
40342.88,0.360218394500608
40342.89,0.358020879188307
40342.9,0.358130769836666
40342.91,0.357376108474392
40342.92,0.362706591182637
40342.93,0.362193488123403
40342.94,0.359856072150454
40342.95,0.356912301176338
40342.96,0.352080772013383
40342.97,0.34655008365624
40342.98,0.335229142532099
40342.99,0.332092445001422
40343,0.334278170300153
40343.01,0.32924525417005
40343.02,0.324921422597748
40343.03,0.318847706824528
40343.04,0.315385217132143
40343.05,0.316215888005129
40343.06,0.313745008448362
40343.07,0.312864652708357
40343.08,0.319068098980271
40343.09,0.319624270039147
40343.1,0.322454159853361
40343.11,0.327609650510823
40343.12,0.322237762789034
40343.13,0.32718306704607
40343.14,0.327259632092179
40343.15,0.330900401664478
40343.16,0.322244596755861
40343.17,0.321219102166333
40343.18,0.325959576998526
40343.19,0.322639508169943
40343.2,0.328073170306881
40343.21,0.336765028144458
40343.22,0.335382016071405
40343.23,0.340350331394865
40343.24,0.34348565116668
40343.25,0.34315700365093
