t, Obs_Pond water depth (m)_expression
40184.56000,7.14413e-07
40184.57000,7.13686e-07
40184.58000,7.12959e-07
40184.59000,7.12231e-07
40184.60000,7.11504e-07
40184.61000,7.10777e-07
40184.62000,7.10049e-07
40184.63000,7.09322e-07
40184.64000,7.08595e-07
40184.65000,7.07868e-07
40184.66000,7.0714e-07
40184.67000,7.06413e-07
40184.68000,7.05686e-07
40184.69000,7.04958e-07
40184.70000,7.04231e-07
40184.71000,7.03508e-07
40184.72000,7.02807e-07
40184.73000,7.02106e-07
40184.74000,7.01405e-07
40184.75000,7.00704e-07
40184.76000,7.00003e-07
40184.77000,6.99302e-07
40184.78000,6.98601e-07
40184.79000,6.979e-07
40184.80000,6.97199e-07
40184.81000,6.96498e-07
40184.82000,6.95797e-07
40184.83000,6.95096e-07
40184.84000,6.94395e-07
40184.85000,6.93693e-07
40184.86000,6.92992e-07
40184.87000,6.92291e-07
40184.88000,6.9159e-07
40184.89000,6.90895e-07
40184.90000,6.90207e-07
40184.91000,6.89519e-07
40184.92000,6.88831e-07
40184.93000,6.88143e-07
40184.94000,6.87454e-07
40184.95000,6.86766e-07
40184.96000,6.86078e-07
40184.97000,6.8539e-07
40184.98000,6.84702e-07
40184.99000,6.84014e-07
40185.00000,6.83326e-07
40185.01000,6.82638e-07
40185.02000,6.8195e-07
40185.03000,6.81262e-07
40185.04000,6.80574e-07
40185.05000,6.79886e-07
40185.06000,6.79198e-07
40185.07000,6.7852e-07
40185.08000,6.77847e-07
40185.09000,6.77174e-07
40185.10000,6.76501e-07
40185.11000,6.75828e-07
40185.12000,6.75155e-07
40185.13000,6.74482e-07
40185.14000,6.73809e-07
40185.15000,6.73136e-07
40185.16000,6.72463e-07
40185.17000,6.7179e-07
40185.18000,6.71117e-07
40185.19000,6.70443e-07
40185.20000,6.6977e-07
40185.21000,6.69097e-07
40185.22000,6.68424e-07
40185.23000,6.67751e-07
40185.24000,6.67078e-07
40185.25000,6.6635e-07
40185.26000,6.65614e-07
40185.27000,6.64878e-07
40185.28000,6.64142e-07
40185.29000,6.63406e-07
40185.30000,6.6267e-07
40185.31000,6.61933e-07
40185.32000,6.61197e-07
40185.33000,6.60461e-07
40185.34000,6.59725e-07
40185.35000,6.58989e-07
40185.36000,6.58253e-07
40185.37000,6.57517e-07
40185.38000,6.56781e-07
40185.39000,6.56045e-07
40185.40000,6.55309e-07
40185.41000,6.54573e-07
40185.42000,6.5384e-07
40185.43000,6.5313e-07
